Absorbance:209, 
351.321, 0.9
351.769, 0.88
352.217, 0.85
352.665, 0.83
353.113, 0.81
353.561, 0.79
354.009, 0.76
354.456, 0.74
354.904, 0.72
355.352, 0.69
355.799, 0.67
356.247, 0.64
356.694, 0.61
357.142, 0.59
357.589, 0.57
358.037, 0.55
358.484, 0.52
358.931, 0.51
359.379, 0.49
359.826, 0.47
360.273, 0.45
360.72, 0.44
361.167, 0.41
361.614, 0.4
362.061, 0.39
362.508, 0.37
362.955, 0.36
363.402, 0.36
363.848, 0.34
364.295, 0.33
364.742, 0.32
365.188, 0.31
365.635, 0.3
366.082, 0.28
366.528, 0.28
366.975, 0.27
367.421, 0.26
367.867, 0.26
368.314, 0.25
368.76, 0.25
369.206, 0.24
369.652, 0.24
370.098, 0.23
370.545, 0.23
370.991, 0.23
371.437, 0.22
371.882, 0.22
372.328, 0.21
372.774, 0.22
373.22, 0.21
373.666, 0.21
374.111, 0.21
374.557, 0.2
375.003, 0.2
375.448, 0.19
375.894, 0.2
376.339, 0.2
376.785, 0.2
377.23, 0.21
377.675, 0.2
378.121, 0.2
378.566, 0.2
379.011, 0.2
379.456, 0.2
379.901, 0.2
380.346, 0.19
380.791, 0.19
381.236, 0.2
381.681, 0.2
382.126, 0.2
382.571, 0.2
383.016, 0.2
383.461, 0.2
383.905, 0.19
384.35, 0.2
384.794, 0.2
385.239, 0.2
385.683, 0.19
386.128, 0.2
386.572, 0.2
387.017, 0.2
387.461, 0.2
387.905, 0.2
388.349, 0.2
388.794, 0.2
389.238, 0.19
389.682, 0.2
390.126, 0.2
390.57, 0.19
391.014, 0.19
391.457, 0.19
391.901, 0.19
392.345, 0.19
392.789, 0.18
393.233, 0.19
393.676, 0.18
394.12, 0.19
394.563, 0.19
395.007, 0.17
395.45, 0.17
395.894, 0.18
396.337, 0.18
396.78, 0.17
397.224, 0.17
397.667, 0.17
398.11, 0.17
398.553, 0.17
398.996, 0.17
399.439, 0.16
399.882, 0.16
400.325, 0.16
400.768, 0.16
401.211, 0.17
401.654, 0.16
402.096, 0.15
402.539, 0.16
402.982, 0.15
403.424, 0.15
403.867, 0.15
404.309, 0.15
404.752, 0.14
405.194, 0.15
405.637, 0.15
406.079, 0.15
406.521, 0.14
406.963, 0.14
407.406, 0.14
407.848, 0.14
408.29, 0.14
408.732, 0.13
409.174, 0.13
409.616, 0.13
410.058, 0.13
410.499, 0.13
410.941, 0.13
411.383, 0.13
411.825, 0.13
412.266, 0.13
412.708, 0.13
413.15, 0.12
413.591, 0.12
414.033, 0.12
414.474, 0.12
414.915, 0.12
415.357, 0.12
415.798, 0.11
416.239, 0.11
416.68, 0.11
417.121, 0.11
417.563, 0.11
418.004, 0.11
418.445, 0.11
418.885, 0.11
419.326, 0.11
419.767, 0.1
420.208, 0.1
420.649, 0.1
421.089, 0.1
421.53, 0.1
421.971, 0.09
422.411, 0.1
422.852, 0.1
423.292, 0.1
423.733, 0.1
424.173, 0.1
424.613, 0.1
425.054, 0.1
425.494, 0.09
425.934, 0.1
426.374, 0.1
426.814, 0.1
427.254, 0.1
427.694, 0.1
428.134, 0.1
428.574, 0.1
429.014, 0.11
429.454, 0.1
429.893, 0.1
430.333, 0.1
430.773, 0.1
431.212, 0.1
431.652, 0.11
432.091, 0.11
432.531, 0.11
432.97, 0.12
433.41, 0.12
433.849, 0.12
434.288, 0.12
434.727, 0.13
435.167, 0.13
