Absorbance:209, 
351.321, 0.77
351.769, 0.77
352.217, 0.77
352.665, 0.77
353.113, 0.77
353.561, 0.78
354.009, 0.76
354.456, 0.76
354.904, 0.77
355.352, 0.75
355.799, 0.75
356.247, 0.75
356.694, 0.73
357.142, 0.74
357.589, 0.74
358.037, 0.73
358.484, 0.74
358.931, 0.72
359.379, 0.73
359.826, 0.73
360.273, 0.72
360.72, 0.71
361.167, 0.71
361.614, 0.72
362.061, 0.72
362.508, 0.71
362.955, 0.73
363.402, 0.73
363.848, 0.72
364.295, 0.73
364.742, 0.73
365.188, 0.74
365.635, 0.74
366.082, 0.74
366.528, 0.76
366.975, 0.76
367.421, 0.76
367.867, 0.78
368.314, 0.77
368.76, 0.78
369.206, 0.78
369.652, 0.79
370.098, 0.79
370.545, 0.8
370.991, 0.81
371.437, 0.81
371.882, 0.8
372.328, 0.81
372.774, 0.8
373.22, 0.79
373.666, 0.8
374.111, 0.78
374.557, 0.8
375.003, 0.79
375.448, 0.79
375.894, 0.77
376.339, 0.76
376.785, 0.77
377.23, 0.76
377.675, 0.76
378.121, 0.74
378.566, 0.74
379.011, 0.74
379.456, 0.74
379.901, 0.73
380.346, 0.71
380.791, 0.71
381.236, 0.72
381.681, 0.71
382.126, 0.71
382.571, 0.71
383.016, 0.71
383.461, 0.71
383.905, 0.71
384.35, 0.72
384.794, 0.72
385.239, 0.72
385.683, 0.73
386.128, 0.72
386.572, 0.72
387.017, 0.74
387.461, 0.75
387.905, 0.76
388.349, 0.76
388.794, 0.77
389.238, 0.77
389.682, 0.77
390.126, 0.78
390.57, 0.79
391.014, 0.79
391.457, 0.8
391.901, 0.81
392.345, 0.82
392.789, 0.84
393.233, 0.84
393.676, 0.86
394.12, 0.86
394.563, 0.85
395.007, 0.87
395.45, 0.86
395.894, 0.87
396.337, 0.89
396.78, 0.88
397.224, 0.89
397.667, 0.89
398.11, 0.92
398.553, 0.9
398.996, 0.92
399.439, 0.92
399.882, 0.91
400.325, 0.91
400.768, 0.93
401.211, 0.93
401.654, 0.93
402.096, 0.93
402.539, 0.94
402.982, 0.94
403.424, 0.96
403.867, 0.95
404.309, 0.95
404.752, 0.94
405.194, 0.98
405.637, 0.97
406.079, 0.96
406.521, 0.98
406.963, 0.99
407.406, 1
407.848, 1.01
408.29, 1.02
408.732, 1.01
409.174, 1.02
409.616, 1.04
410.058, 1.06
410.499, 1.05
410.941, 1.08
411.383, 1.07
411.825, 1.09
412.266, 1.11
412.708, 1.11
413.15, 1.12
413.591, 1.14
414.033, 1.15
414.474, 1.16
414.915, 1.18
415.357, 1.18
415.798, 1.17
416.239, 1.17
416.68, 1.21
417.121, 1.21
417.563, 1.24
418.004, 1.23
418.445, 1.27
418.885, 1.25
419.326, 1.28
419.767, 1.29
420.208, 1.29
420.649, 1.3
421.089, 1.33
421.53, 1.33
421.971, 1.35
422.411, 1.36
422.852, 1.35
423.292, 1.35
423.733, 1.38
424.173, 1.4
424.613, 1.45
425.054, 1.4
425.494, 1.46
425.934, 1.45
426.374, 1.45
426.814, 1.48
427.254, 1.48
427.694, 1.47
428.134, 1.47
428.574, 1.51
429.014, 1.5
429.454, 1.56
429.893, 1.56
430.333, 1.51
430.773, 1.58
431.212, 1.56
431.652, 1.56
432.091, 1.61
432.531, 1.52
432.97, 1.64
433.41, 1.55
433.849, 1.6
434.288, 1.57
434.727, 1.59
435.167, 1.66
435.606, 1.62
436.045, 1.66
436.484, 1.58
436.923, 1.59
437.362, 1.66
437.801, 1.65
438.239, 1.64
438.678, 1.67
439.117, 1.71
439.556, 1.7
439.994, 1.65
440.433, 1.67
440.871, 1.7
441.31, 1.73
441.748, 1.73
442.187, 1.73
442.625, 1.78
443.063, 1.69
443.502, 1.68
443.94, 1.76
444.378, 1.75
444.816, 1.76
445.254, 1.79
445.692, 1.68
446.13, 1.78
446.568, 1.79
447.006, 1.81
447.444, 1.78
447.881, 1.74
448.319, 1.69
448.757, 1.75
449.194, 1.8
449.632, 1.77
450.07, 1.82
450.507, 1.83
450.944, 1.84
451.382, 1.8
451.819, 1.79
452.256, 1.81
452.694, 1.83
453.131, 1.74
453.568, 1.91
454.005, 1.89
454.442, 1.83
454.879, 1.75
455.316, 1.76
455.753, 1.74
456.19, 1.74
456.627, 1.81
457.063, 1.78
457.5, 1.81
457.937, 1.8
458.373, 1.77
458.81, 1.79
459.246, 1.75
459.683, 1.81
460.119, 1.87
460.556, 1.89
460.992, 1.82
461.428, 1.86
461.864, 1.87
462.301, 1.76
462.737, 1.81
463.173, 1.86
463.609, 1.85
464.045, 1.75
464.481, 1.83
464.917, 1.9
465.352, 1.85
465.788, 1.85
466.224, 1.87
466.66, 1.89
467.095, 1.91
467.531, 1.9
467.966, 1.87
468.402, 1.92
468.837, 1.84
469.273, 1.87
469.708, 1.79
470.143, 1.81
470.578, 1.84
471.014, 1.8
471.449, 1.81
471.884, 1.81
472.319, 1.94
472.754, 1.8
473.189, 1.78
473.624, 1.97
474.059, 1.9
474.493, 1.78
474.928, 1.79
475.363, 1.9
475.797, 1.91
476.232, 1.89
476.667, 1.78
477.101, 1.88
477.536, 1.95
477.97, 1.95
478.404, 1.84
478.839, 1.96
479.273, 1.91
479.707, 1.81
480.141, 1.88
480.575, 1.86
481.009, 1.87
481.444, 1.87
481.877, 1.97
482.311, 1.91
482.745, 1.84
483.179, 2.06
483.613, 1.92
484.047, 1.9
484.48, 1.99
484.914, 1.91
485.347, 2.01
485.781, 1.92
486.214, 1.89
486.648, 1.97
487.081, 1.97
487.515, 2.04
487.948, 1.98
488.381, 1.98
488.814, 1.98
489.247, 1.89
489.68, 1.93
490.113, 1.96
490.546, 1.98
490.979, 1.94
491.412, 1.87
491.845, 1.88
492.278, 2
492.711, 1.9
493.143, 1.91
493.576, 1.94
494.009, 1.9
494.441, 1.83
494.874, 1.84
495.306, 1.87
495.738, 1.83
496.171, 1.79
496.603, 1.89
497.035, 1.92
497.467, 1.87
497.9, 1.87
498.332, 1.91
498.764, 1.79
