FLMS05507_1:101, 
188.96, -84.26
189.424, -84.26
189.887, -84.26
190.351, -65.53
190.815, -77.24
191.279, -84.26
191.742, -16.38
192.206, -44.47
192.669, -145.11
193.133, -44.47
193.596, -51.49
194.06, -42.13
194.523, -37.45
194.987, -2.34
195.45, 79.58
195.913, 2.34
196.376, 30.43
196.84, 74.9
197.303, 35.11
197.766, 110.01
198.229, 135.75
198.692, 135.75
199.155, 112.35
199.618, 264.48
200.081, 353.42
200.543, 390.87
201.006, 325.33
201.469, 374.49
201.932, 341.72
202.394, 414.27
202.857, 433
203.32, 456.4
203.782, 449.38
204.245, 428.32
204.707, 444.7
205.169, 482.15
205.632, 465.77
206.094, 454.06
206.556, 442.36
207.019, 433
207.481, 404.91
207.943, 451.72
208.405, 507.9
208.867, 425.98
209.329, 449.38
209.791, 496.19
210.253, 454.06
210.715, 514.92
211.177, 451.72
211.639, 430.66
212.1, 425.98
212.562, 470.45
213.024, 379.17
213.485, 435.34
213.947, 407.25
214.408, 367.46
214.87, 435.34
215.331, 433
215.793, 456.4
216.254, 390.87
216.715, 458.74
217.177, 386.19
217.638, 402.57
218.099, 418.96
218.56, 465.77
219.021, 468.11
219.482, 435.34
219.944, 435.34
220.404, 465.77
220.865, 353.42
221.326, 472.79
221.787, 414.27
222.248, 470.45
222.709, 465.77
223.169, 404.91
223.63, 372.15
224.091, 402.57
224.551, 458.74
225.012, 418.96
225.472, 421.3
225.933, 451.72
226.393, 435.34
226.854, 482.15
227.314, 433
227.774, 421.3
228.234, 486.83
228.695, 423.64
229.155, 531.3
229.615, 416.62
230.075, 444.7
230.535, 468.11
230.995, 369.8
231.455, 372.15
231.915, 404.91
232.375, 386.19
232.834, 454.06
233.294, 456.4
233.754, 470.45
234.214, 440.02
234.673, 435.34
235.133, 447.04
235.592, 503.22
236.052, 454.06
236.511, 407.25
236.971, 442.36
237.43, 418.96
237.889, 461.09
238.349, 376.83
238.808, 484.49
239.267, 383.85
239.726, 376.83
240.185, 496.19
240.644, 468.11
241.103, 456.4
241.562, 407.25
242.021, 388.53
242.48, 421.3
242.939, 472.79
243.398, 376.83
243.857, 447.04
244.315, 489.17
244.774, 491.51
245.233, 367.46
245.691, 486.83
246.15, 428.32
246.608, 472.79
247.067, 367.46
247.525, 360.44
247.983, 365.12
248.442, 456.4
248.9, 465.77
249.358, 379.17
249.816, 428.32
250.274, 393.21
250.733, 437.68
251.191, 367.46
251.649, 442.36
252.107, 461.09
252.564, 393.21
253.022, 418.96
253.48, 430.66
253.938, 421.3
254.396, 346.4
254.853, 383.85
255.311, 395.55
255.769, 463.43
256.226, 454.06
256.684, 355.76
257.141, 425.98
257.599, 472.79
258.056, 470.45
258.513, 461.09
258.971, 407.25
259.428, 414.27
259.885, 447.04
260.342, 486.83
260.799, 454.06
261.256, 433
261.714, 519.6
262.171, 461.09
262.627, 454.06
263.084, 404.91
263.541, 528.96
263.998, 465.77
264.455, 421.3
264.912, 503.22
265.368, 407.25
265.825, 442.36
266.281, 470.45
266.738, 472.79
267.194, 465.77
267.651, 447.04
268.107, 425.98
268.564, 496.19
269.02, 447.04
269.476, 503.22
269.933, 507.9
270.389, 498.53
270.845, 411.93
271.301, 498.53
271.757, 489.17
272.213, 477.47
272.669, 402.57
273.125, 402.57
273.581, 393.21
274.037, 397.89
274.492, 454.06
274.948, 463.43
275.404, 407.25
275.86, 454.06
276.315, 414.27
276.771, 484.49
277.226, 451.72
277.682, 433
278.137, 475.13
278.593, 458.74
279.048, 521.94
279.503, 482.15
279.958, 472.79
280.414, 433
