lambda, intensity
351.321, 838.06
351.769, 828.7
352.217, 894.23
352.665, 880.19
353.113, 873.17
353.561, 1006.58
354.009, 950.4
354.456, 917.64
354.904, 891.89
355.352, 936.36
355.799, 964.45
356.247, 945.72
356.694, 1102.54
357.142, 978.49
357.589, 1046.37
358.037, 1018.28
358.484, 1046.37
358.931, 999.56
359.379, 1067.43
359.826, 1121.26
360.273, 1079.13
360.72, 1055.73
361.167, 1154.03
361.614, 1154.03
362.061, 1168.07
362.508, 1207.86
362.955, 1182.12
363.402, 1184.46
363.848, 1217.22
364.295, 1242.97
364.742, 1191.48
365.188, 1254.67
365.635, 1390.42
366.082, 1374.04
366.528, 1294.46
366.975, 1320.21
367.421, 1397.45
367.867, 1306.17
368.314, 1439.58
368.76, 1474.68
369.206, 1481.71
369.652, 1418.51
370.098, 1479.36
370.545, 1547.24
370.991, 1610.43
371.437, 1465.32
371.882, 1643.2
372.328, 1589.37
372.774, 1736.82
373.22, 1561.28
373.666, 1624.48
374.111, 1647.88
374.557, 1762.57
375.003, 1643.2
375.448, 1664.27
375.894, 1732.14
376.339, 1729.8
376.785, 1797.68
377.23, 1807.04
377.675, 1809.38
378.121, 1809.38
378.566, 1837.47
379.011, 1809.38
379.456, 1842.15
379.901, 1928.75
380.346, 1839.81
380.791, 1956.83
381.236, 1919.39
381.681, 1977.9
382.126, 2005.99
382.571, 1942.79
383.016, 1963.86
383.461, 2010.67
383.905, 2031.73
384.35, 2162.8
384.794, 1989.6
385.239, 2240.04
385.683, 2160.46
386.128, 2169.82
386.572, 2258.76
387.017, 2233.02
387.461, 2284.51
387.905, 2272.81
388.349, 2319.62
388.794, 2326.64
389.238, 2275.15
389.682, 2413.24
390.126, 2389.83
390.57, 2520.9
391.014, 2504.52
391.457, 2539.63
391.901, 2516.22
392.345, 2584.1
392.789, 2602.82
393.233, 2602.82
393.676, 2453.03
394.12, 2577.08
394.563, 2563.03
395.007, 2675.38
395.45, 2670.7
395.894, 2600.48
396.337, 2757.3
396.78, 2722.19
397.224, 2820.49
397.667, 2640.27
398.11, 2806.45
398.553, 2911.77
398.996, 2951.56
399.439, 3056.89
399.882, 3035.82
400.325, 3077.95
400.768, 3031.14
401.211, 2972.63
401.654, 3192.64
402.096, 3164.55
402.539, 3115.4
402.982, 3120.08
403.424, 3244.13
403.867, 3199.66
404.309, 3288.6
404.752, 3279.24
405.194, 3290.94
405.637, 3431.37
406.079, 3349.45
406.521, 3464.14
406.963, 3510.95
407.406, 3576.48
407.848, 3543.72
408.29, 3620.96
408.732, 3733.3
409.174, 3761.39
409.616, 3761.39
410.058, 3642.02
410.499, 3864.37
410.941, 3934.59
411.383, 3962.67
411.825, 3990.76
412.266, 3939.27
412.708, 4079.7
413.15, 4072.68
413.591, 4180.34
414.033, 4058.64
414.474, 4206.09
414.915, 4135.87
415.357, 4318.43
415.798, 4372.27
416.239, 4325.46
416.68, 4334.82
417.121, 4627.39
417.563, 4447.16
418.004, 4655.47
418.445, 4599.3
418.885, 4791.22
419.326, 4676.54
419.767, 4805.27
420.208, 4826.33
420.649, 4924.63
421.089, 5062.73
421.53, 5186.77
421.971, 5111.88
422.411, 4952.72
422.852, 5137.62
423.292, 5259.33
423.733, 5259.33
424.173, 5343.59
424.613, 5296.78
425.054, 5366.99
425.494, 5558.92
425.934, 5507.43
426.374, 5427.85
426.814, 5596.37
427.254, 5706.37
427.694, 5624.45
428.134, 5874.89
428.574, 5900.64
429.014, 5750.84
429.454, 5959.15
429.893, 5867.87
430.333, 5804.67
430.773, 6048.09
431.212, 6094.9
431.652, 6202.57
432.091, 6406.19
432.531, 6265.76
432.97, 6350.02
433.41, 6490.45
433.849, 6361.72
434.288, 6408.53
434.727, 6740.89
435.167, 6445.98
435.606, 6581.73
436.045, 6787.7
436.484, 6801.74
436.923, 7005.37
437.362, 7007.71
437.801, 7056.86
438.239, 7145.8
438.678, 7162.19
439.117, 7204.32
439.556, 7405.6
439.994, 7487.52
440.433, 7461.77
440.871, 7604.55
441.31, 7461.77
441.748, 7515.61
442.187, 7740.3
442.625, 7707.53
443.063, 7597.53
443.502, 7651.36
443.94, 7773.07
444.378, 7768.38
444.816, 7775.41
445.254, 7957.97
445.692, 7943.92
446.13, 8187.34
446.568, 7964.99
447.006, 8079.68
447.444, 8189.68
447.881, 8262.24
448.319, 8369.9
448.757, 8536.08
449.194, 8405.01
449.632, 8400.33
450.07, 8435.44
450.507, 8517.36
450.944, 8578.21
451.382, 8634.38
451.819, 8753.75
452.256, 8779.5
452.694, 8938.65
453.131, 8978.44
453.568, 8926.95
454.005, 9144.62
454.442, 9055.68
454.879, 9294.41
455.316, 9528.47
455.753, 9320.16
456.19, 9682.94
456.627, 9605.7
457.063, 9650.18
457.5, 9640.81
457.937, 9638.47
458.373, 9713.37
458.81, 9537.83
459.246, 10052.75
459.683, 9720.39
460.119, 10031.68
460.556, 10368.72
460.992, 10146.37
461.428, 10300.84
461.864, 10635.54
462.301, 10326.59
462.737, 10658.95
463.173, 10857.89
463.609, 11042.79
464.045, 10885.98
464.481, 11007.69
464.917, 11005.35
465.352, 11068.54
465.788, 11187.91
466.224, 11377.49
466.66, 11550.69
467.095, 11609.2
467.531, 11618.57
467.966, 11794.11
468.402, 12297.32
468.837, 12412.01
469.273, 12529.03
469.708, 12533.72
470.143, 12524.35
470.578, 13228.85
471.014, 13006.5
471.449, 13050.97
471.884, 13568.23
472.319, 13596.32
472.754, 13643.13
473.189, 13856.12
473.624, 14537.21
474.059, 14459.98
474.493, 15040.43
474.928, 15045.11
475.363, 15356.4
475.797, 15702.8
476.232, 15709.82
476.667, 16304.32
477.101, 16409.64
477.536, 16894.13
477.97, 17104.78
478.404, 16966.69
478.839, 17301.39
479.273, 17458.2
479.707, 18223.56
480.141, 18403.78
480.575, 18630.81
481.009, 18857.84
481.444, 18712.73
481.877, 19590.43
482.311, 19695.75
482.745, 19939.17
483.179, 20531.33
483.613, 20683.46
484.047, 21036.88
484.48, 21207.74
484.914, 21507.33
485.347, 21235.83
485.781, 21734.36
486.214, 21928.63
486.648, 22047.99
487.081, 22076.08
487.515, 22899.95
487.948, 22918.67
488.381, 22909.31
488.814, 23510.83
489.247, 23829.14
489.68, 23932.12
490.113, 24550.03
490.546, 24100.64
490.979, 24580.45
491.412, 24613.22
491.845, 24557.05
492.278, 25170.27
492.711, 25614.97
493.143, 26157.97
493.576, 26347.56
494.009, 26361.6
494.441, 26902.26
494.874, 26717.36
495.306, 26899.92
495.738, 27080.14
496.171, 26867.16
496.603, 27459.31
497.035, 27194.83
497.467, 27604.42
497.9, 28231.69
498.332, 28065.51
498.764, 28645.96
499.196, 28833.21
499.628, 28830.87
500.06, 28887.04
500.491, 29305.99
500.923, 29376.21
501.355, 29741.33
501.787, 29804.53
502.218, 30272.64
502.65, 29926.24
503.081, 29989.43
503.513, 30457.54
503.944, 30305.4
504.376, 31026.29
504.807, 30651.8
505.238, 31115.23
505.67, 31115.23
506.101, 31370.35
506.532, 31323.54
506.963, 31538.87
507.394, 32065.49
507.825, 31817.39
508.256, 32334.65
508.687, 32147.4
509.118, 32456.36
509.549, 32446.99
509.979, 32374.44
510.41, 33083.62
510.841, 32971.27
511.271, 33069.58
511.702, 33289.59
512.132, 33055.53
512.563, 33771.74
512.993, 33275.54
513.424, 34190.69
513.854, 33523.64
514.284, 33954.3
514.714, 34321.76
515.145, 34424.75
515.575, 34296.02
516.005, 34899.87
516.435, 35705.02
516.865, 35485.01
517.295, 35761.19
517.724, 35300.11
518.154, 35531.82
518.584, 35873.54
519.014, 35580.97
519.443, 35672.25
519.873, 35515.44
520.303, 35908.65
520.732, 36219.94
521.161, 35730.76
521.591, 36255.04
522.02, 36648.25
522.45, 37242.75
522.879, 36711.45
523.308, 36746.56
523.737, 36886.99
524.166, 37107
524.595, 37085.93
525.024, 36952.52
525.453, 37338.71
525.882, 38209.39
526.311, 37884.06
526.74, 37107
527.169, 37437.02
527.597, 37715.54
528.026, 38314.72
528.455, 38080.66
528.883, 37509.57
529.312, 37923.85
529.74, 38090.02
530.168, 38225.78
530.597, 38164.92
531.025, 38717.29
531.453, 38925.6
531.882, 39002.83
532.31, 38714.95
532.738, 38956.02
533.166, 39335.19
533.594, 38967.73
534.022, 39243.91
534.45, 38941.98
534.878, 39398.38
535.305, 39194.76
535.733, 39798.62
536.161, 39426.47
536.588, 39798.62
537.016, 39419.45
537.444, 39625.42
537.871, 39946.07
538.299, 39719.04
538.726, 40208.21
539.153, 41488.48
539.581, 40706.74
540.008, 41022.72
540.435, 40524.18
540.862, 41018.03
541.289, 40959.52
541.716, 41280.17
542.143, 40484.39
542.57, 41352.73
542.997, 40814.41
543.424, 41654.66
543.851, 41816.16
544.277, 42284.26
544.704, 42642.37
545.131, 42326.39
545.557, 42012.76
545.984, 42176.6
546.41, 42195.32
546.837, 42731.31
547.263, 42946.64
547.69, 42593.22
548.116, 42801.52
548.542, 42127.45
548.968, 42625.98
549.394, 42050.21
549.82, 42686.84
550.246, 42661.09
550.672, 43573.9
551.098, 43321.12
551.524, 43398.36
551.95, 43885.19
552.376, 44051.37
552.802, 44531.18
553.227, 43740.08
553.653, 43576.24
554.078, 43655.82
554.504, 43992.86
554.929, 44381.38
555.355, 44154.35
555.78, 44194.14
556.206, 43948.39
556.631, 43878.17
557.056, 44049.03
557.481, 44320.53
557.906, 44236.27
558.331, 44723.1
558.756, 45160.78
559.181, 45722.51
559.606, 45034.39
560.031, 45259.09
560.456, 45249.72
560.881, 45488.46
561.305, 44922.05
561.73, 44961.84
562.155, 44690.34
562.579, 45153.76
563.004, 45436.97
563.428, 45762.3
563.853, 45635.91
564.277, 45720.17
564.701, 45366.75
565.126, 45977.63
565.55, 46120.4
565.974, 45631.23
566.398, 45865.28
566.822, 46321.69
567.246, 46747.67
567.67, 46169.55
568.094, 46579.15
568.518, 46747.67
568.941, 46967.68
569.365, 47241.52
569.789, 47419.4
570.213, 47335.14
570.636, 47704.95
571.06, 48489.02
571.483, 49111.61
