Absorbance:209, 
351.321, 0.16
351.769, 0.16
352.217, 0.16
352.665, 0.15
353.113, 0.16
353.561, 0.15
354.009, 0.15
354.456, 0.15
354.904, 0.16
355.352, 0.15
355.799, 0.15
356.247, 0.15
356.694, 0.15
357.142, 0.15
357.589, 0.15
358.037, 0.16
358.484, 0.16
358.931, 0.16
359.379, 0.16
359.826, 0.17
360.273, 0.17
360.72, 0.17
361.167, 0.17
361.614, 0.17
362.061, 0.18
362.508, 0.19
362.955, 0.19
363.402, 0.2
363.848, 0.2
364.295, 0.21
364.742, 0.22
365.188, 0.21
365.635, 0.22
366.082, 0.22
366.528, 0.23
366.975, 0.23
367.421, 0.24
367.867, 0.24
368.314, 0.25
368.76, 0.26
369.206, 0.26
369.652, 0.26
370.098, 0.26
370.545, 0.27
370.991, 0.28
371.437, 0.29
371.882, 0.3
372.328, 0.29
372.774, 0.3
373.22, 0.31
373.666, 0.31
374.111, 0.32
374.557, 0.33
375.003, 0.33
375.448, 0.33
375.894, 0.34
376.339, 0.35
376.785, 0.36
377.23, 0.36
377.675, 0.36
378.121, 0.37
378.566, 0.38
379.011, 0.37
379.456, 0.39
379.901, 0.4
380.346, 0.41
380.791, 0.41
381.236, 0.42
381.681, 0.42
382.126, 0.44
382.571, 0.44
383.016, 0.45
383.461, 0.46
383.905, 0.47
384.35, 0.47
384.794, 0.49
385.239, 0.49
385.683, 0.5
386.128, 0.5
386.572, 0.52
387.017, 0.53
387.461, 0.54
387.905, 0.54
388.349, 0.56
388.794, 0.56
389.238, 0.57
389.682, 0.57
390.126, 0.59
390.57, 0.6
391.014, 0.6
391.457, 0.62
391.901, 0.63
392.345, 0.63
392.789, 0.64
393.233, 0.65
393.676, 0.65
394.12, 0.67
394.563, 0.67
395.007, 0.68
395.45, 0.69
395.894, 0.7
396.337, 0.71
396.78, 0.7
397.224, 0.71
397.667, 0.73
398.11, 0.73
398.553, 0.74
398.996, 0.75
399.439, 0.75
399.882, 0.75
400.325, 0.76
400.768, 0.78
401.211, 0.77
401.654, 0.79
402.096, 0.77
402.539, 0.78
402.982, 0.78
403.424, 0.79
403.867, 0.8
404.309, 0.79
404.752, 0.78
405.194, 0.8
405.637, 0.79
406.079, 0.8
406.521, 0.81
406.963, 0.81
407.406, 0.81
407.848, 0.81
408.29, 0.82
408.732, 0.82
409.174, 0.84
409.616, 0.84
410.058, 0.82
410.499, 0.83
410.941, 0.83
411.383, 0.82
411.825, 0.84
412.266, 0.85
412.708, 0.84
413.15, 0.83
413.591, 0.84
414.033, 0.84
414.474, 0.84
414.915, 0.85
415.357, 0.87
415.798, 0.85
416.239, 0.85
416.68, 0.84
417.121, 0.85
417.563, 0.85
418.004, 0.86
418.445, 0.86
418.885, 0.87
419.326, 0.86
419.767, 0.85
420.208, 0.86
420.649, 0.86
421.089, 0.87
421.53, 0.86
421.971, 0.87
422.411, 0.86
422.852, 0.85
423.292, 0.87
423.733, 0.84
424.173, 0.85
424.613, 0.85
425.054, 0.84
425.494, 0.84
425.934, 0.83
426.374, 0.83
426.814, 0.82
427.254, 0.8
427.694, 0.8
428.134, 0.8
428.574, 0.8
429.014, 0.8
429.454, 0.79
429.893, 0.79
430.333, 0.77
430.773, 0.76
431.212, 0.74
431.652, 0.73
432.091, 0.74
432.531, 0.7
432.97, 0.72
433.41, 0.68
433.849, 0.69
434.288, 0.67
434.727, 0.65
435.167, 0.64
435.606, 0.64
436.045, 0.62
436.484, 0.59
436.923, 0.57
437.362, 0.57
437.801, 0.55
438.239, 0.54
438.678, 0.52
439.117, 0.5
439.556, 0.49
439.994, 0.48
440.433, 0.45
440.871, 0.44
441.31, 0.42
441.748, 0.41
442.187, 0.4
442.625, 0.37
443.063, 0.36
443.502, 0.33
443.94, 0.33
444.378, 0.32
444.816, 0.3
445.254, 0.28
445.692, 0.27
446.13, 0.25
446.568, 0.24
447.006, 0.22
447.444, 0.21
447.881, 0.2
448.319, 0.18
448.757, 0.18
449.194, 0.17
449.632, 0.16
450.07, 0.14
450.507, 0.13
450.944, 0.11
451.382, 0.1
451.819, 0.1
452.256, 0.08
452.694, 0.07
453.131, 0.07
453.568, 0.06
454.005, 0.05
454.442, 0.04
454.879, 0.04
455.316, 0.02
455.753, 0.02
456.19, 0.01
456.627, 0
457.063, -0.01
457.5, -0.01
457.937, -0.01
458.373, -0.02
458.81, -0.03
459.246, -0.04
459.683, -0.04
460.119, -0.04
460.556, -0.06
460.992, -0.05
461.428, -0.06
461.864, -0.06
462.301, -0.06
462.737, -0.07
463.173, -0.07
463.609, -0.08
464.045, -0.07
464.481, -0.08
464.917, -0.09
465.352, -0.09
465.788, -0.09
466.224, -0.09
466.66, -0.1
467.095, -0.1
467.531, -0.09
467.966, -0.1
468.402, -0.1
468.837, -0.1
469.273, -0.1
469.708, -0.1
470.143, -0.11
470.578, -0.1
471.014, -0.11
471.449, -0.11
471.884, -0.11
472.319, -0.11
472.754, -0.11
473.189, -0.12
473.624, -0.12
474.059, -0.11
474.493, -0.12
474.928, -0.12
475.363, -0.12
475.797, -0.12
476.232, -0.12
476.667, -0.11
477.101, -0.12
477.536, -0.12
477.97, -0.11
478.404, -0.12
478.839, -0.12
479.273, -0.11
479.707, -0.11
480.141, -0.12
480.575, -0.11
481.009, -0.12
481.444, -0.12
481.877, -0.12
482.311, -0.12
482.745, -0.12
483.179, -0.12
483.613, -0.11
484.047, -0.11
484.48, -0.11
484.914, -0.12
485.347, -0.11
485.781, -0.11
486.214, -0.11
486.648, -0.11
487.081, -0.1
487.515, -0.1
487.948, -0.1
488.381, -0.1
488.814, -0.11
489.247, -0.11
489.68, -0.11
490.113, -0.11
490.546, -0.11
490.979, -0.11
491.412, -0.11
491.845, -0.11
492.278, -0.1
492.711, -0.11
493.143, -0.11
493.576, -0.11
494.009, -0.11
494.441, -0.11
494.874, -0.11
495.306, -0.1
495.738, -0.1
496.171, -0.11
496.603, -0.1
497.035, -0.1
497.467, -0.09
497.9, -0.1
498.332, -0.1
498.764, -0.1
499.196, -0.1
499.628, -0.1
500.06, -0.11
500.491, -0.1
500.923, -0.1
501.355, -0.1
501.787, -0.1
502.218, -0.1
502.65, -0.1
503.081, -0.1
503.513, -0.1
503.944, -0.09
504.376, -0.09
504.807, -0.1
505.238, -0.09
505.67, -0.09
506.101, -0.1
506.532, -0.1
506.963, -0.1
507.394, -0.09
507.825, -0.1
508.256, -0.1
508.687, -0.1
509.118, -0.1
509.549, -0.1
509.979, -0.1
510.41, -0.1
510.841, -0.1
511.271, -0.1
511.702, -0.09
512.132, -0.09
512.563, -0.1
512.993, -0.1
513.424, -0.09
513.854, -0.1
514.284, -0.1
514.714, -0.1
515.145, -0.1
515.575, -0.1
516.005, -0.1
516.435, -0.1
516.865, -0.1
517.295, -0.1
517.724, -0.1
518.154, -0.1
518.584, -0.09
519.014, -0.09
519.443, -0.1
519.873, -0.1
520.303, -0.1
520.732, -0.09
521.161, -0.1
521.591, -0.1
522.02, -0.1
522.45, -0.1
522.879, -0.09
523.308, -0.1
523.737, -0.1
524.166, -0.1
524.595, -0.1
525.024, -0.1
525.453, -0.1
525.882, -0.1
526.311, -0.1
526.74, -0.1
527.169, -0.1
527.597, -0.1
528.026, -0.1
528.455, -0.1
528.883, -0.1
529.312, -0.09
529.74, -0.1
530.168, -0.1
530.597, -0.1
531.025, -0.09
531.453, -0.1
531.882, -0.1
532.31, -0.09
532.738, -0.09
533.166, -0.09
533.594, -0.09
534.022, -0.09
534.45, -0.09
534.878, -0.09
535.305, -0.09
535.733, -0.09
536.161, -0.09
536.588, -0.09
537.016, -0.09
537.444, -0.09
537.871, -0.09
538.299, -0.09
538.726, -0.09
539.153, -0.08
539.581, -0.08
540.008, -0.08
540.435, -0.09
540.862, -0.08
541.289, -0.08
541.716, -0.08
542.143, -0.09
542.57, -0.08
542.997, -0.09
543.424, -0.08
543.851, -0.08
544.277, -0.08
544.704, -0.08
545.131, -0.08
545.557, -0.08
545.984, -0.08
546.41, -0.08
546.837, -0.07
547.263, -0.08
547.69, -0.08
548.116, -0.07
548.542, -0.07
548.968, -0.07
549.394, -0.07
549.82, -0.08
550.246, -0.08
550.672, -0.08
551.098, -0.08
551.524, -0.08
551.95, -0.08
552.376, -0.07
552.802, -0.08
553.227, -0.07
553.653, -0.07
554.078, -0.06
554.504, -0.07
554.929, -0.07
555.355, -0.07
555.78, -0.07
556.206, -0.07
556.631, -0.07
557.056, -0.07
557.481, -0.07
557.906, -0.07
558.331, -0.07
558.756, -0.07
559.181, -0.07
559.606, -0.07
560.031, -0.07
560.456, -0.07
560.881, -0.07
561.305, -0.07
561.73, -0.06
562.155, -0.06
562.579, -0.06
563.004, -0.06
563.428, -0.06
563.853, -0.06
564.277, -0.06
564.701, -0.06
565.126, -0.06
565.55, -0.06
565.974, -0.06
566.398, -0.06
566.822, -0.06
567.246, -0.05
567.67, -0.05
568.094, -0.05
568.518, -0.04
568.941, -0.04
569.365, -0.03
569.789, -0.03
570.213, -0.02
570.636, -0.02
571.06, -0.01
571.483, -0.01
571.907, -0.01
572.33, -0.01
572.753, -0.01
573.177, -0.01
573.6, -0.01
574.023, 0
574.446, 0
574.869, 0
575.292, 0
575.715, 0
576.138, -0.01
576.561, -0.01
576.984, -0.01
577.407, 0
577.829, 0
578.252, 0
578.675, 0
579.097, 0
579.52, 0
579.942, 0
580.364, 0
580.787, 0
581.209, 0
581.631, 0
582.054, 0
582.476, 0
582.898, 0
583.32, 0
583.742, 0
584.164, -0.01
584.586, -0.01
585.008, -0.01
585.429, 0
585.851, 0
586.273, 0
586.694, 0
587.116, 0
587.538, 0
587.959, 0
588.38, -0.01
588.802, -0.01
589.223, -0.01
589.644, -0.01
590.066, -0.01
590.487, -0.01
590.908, -0.01
591.329, -0.02
591.75, -0.01
592.171, -0.01
592.592, 0
593.013, 0
593.434, 0
593.854, 0
594.275, 0
594.696, 0
595.116, 0
595.537, 0
595.957, -0.01
596.378, 0
596.798, 0
597.218, 0
597.639, 0
598.059, 0
598.479, 0
598.899, 0
599.319, 0
599.739, 0
600.159, 0
600.579, 0
600.999, 0
601.419, 0
601.839, 0
602.259, 0
602.678, 0
603.098, 0
603.517, 0
603.937, 0
604.356, 0
604.776, 0
605.195, 0
605.614, 0
606.034, 0
606.453, 0
606.872, 0
607.291, 0
607.71, 0
608.129, 0
608.548, 0
608.967, 0
609.386, 0
609.805, 0
610.223, 0
610.642, 0
611.061, 0
611.479, 0
611.898, 0
612.316, 0
612.735, 0
613.153, 0
613.571, 0
613.99, 0
614.408, 0
614.826, 0
615.244, 0
615.662, 0
616.08, 0
616.498, 0
616.916, 0
617.334, -0.01
617.752, -0.01
618.169, -0.01
618.587, -0.01
619.005, -0.01
619.422, -0.01
619.84, -0.01
620.257, -0.02
620.675, -0.01
621.092, -0.01
621.509, -0.01
621.927, -0.01
622.344, -0.01
622.761, -0.01
623.178, -0.01
623.595, -0.01
624.012, -0.01
624.429, -0.01
624.846, -0.01
625.263, -0.01
625.68, -0.01
626.097, -0.01
626.513, -0.01
626.93, -0.01
627.346, -0.02
627.763, -0.02
628.179, -0.01
628.596, -0.02
629.012, -0.02
629.429, -0.02
629.845, -0.02
630.261, -0.02
630.677, -0.02
631.093, -0.02
631.509, -0.02
631.925, -0.02
632.341, -0.02
632.757, -0.02
633.173, -0.02
633.589, -0.02
634.005, -0.02
634.42, -0.02
634.836, -0.02
635.252, -0.02
635.667, -0.02
636.083, -0.02
636.498, -0.02
636.913, -0.02
637.329, -0.02
637.744, -0.02
638.159, -0.02
638.574, -0.02
638.99, -0.02
639.405, -0.02
639.82, -0.02
640.235, -0.02
640.65, -0.02
641.064, -0.02
641.479, -0.02
641.894, -0.02
642.309, -0.02
642.723, -0.02
643.138, -0.02
643.552, -0.02
643.967, -0.02
644.381, -0.02
644.796, -0.02
645.21, -0.01
645.624, -0.02
646.038, -0.02
646.453, -0.02
646.867, -0.02
647.281, -0.01
647.695, -0.01
648.109, -0.01
648.523, -0.01
648.936, -0.01
649.35, -0.01
649.764, -0.01
650.178, -0.01
650.591, -0.01
651.005, -0.01
651.418, -0.01
651.832, -0.01
652.245, -0.01
652.659, -0.01
653.072, -0.01
653.485, -0.01
653.898, -0.01
654.312, -0.01
654.725, -0.01
655.138, 0
655.551, 0
655.964, 0
656.377, 0
656.789, 0
657.202, 0
657.615, 0
658.028, 0
658.44, 0
658.853, -0.01
659.265, -0.01
659.678, -0.01
660.09, -0.01
660.503, -0.01
660.915, -0.01
661.327, -0.01
661.739, -0.01
662.152, -0.01
662.564, -0.01
662.976, -0.01
663.388, -0.01
663.8, -0.01
664.211, -0.01
664.623, -0.01
665.035, -0.01
665.447, -0.01
665.858, -0.01
666.27, -0.01
666.682, -0.01
667.093, -0.01
667.505, -0.01
667.916, -0.01
668.327, -0.01
668.739, -0.01
669.15, -0.01
669.561, -0.01
669.972, -0.01
670.383, -0.01
670.794, -0.01
671.205, -0.01
671.616, -0.01
672.027, -0.01
672.438, -0.01
672.849, -0.01
673.259, -0.01
673.67, -0.01
674.08, -0.01
674.491, -0.01
674.901, -0.01
675.312, -0.01
675.722, -0.01
676.133, -0.01
676.543, -0.01
676.953, -0.01
677.363, -0.01
677.773, -0.01
678.183, -0.01
678.593, -0.01
679.003, -0.01
679.413, -0.01
679.823, -0.01
680.233, -0.01
680.643, -0.01
681.052, -0.01
681.462, -0.01
681.872, -0.01
682.281, -0.01
682.691, -0.01
683.1, -0.02
683.509, -0.01
683.919, -0.01
684.328, -0.01
684.737, -0.01
685.146, -0.01
685.555, -0.01
685.964, -0.01
686.373, -0.01
686.782, -0.01
687.191, -0.02
687.6, -0.02
688.009, -0.02
688.417, -0.02
688.826, -0.02
689.235, -0.02
689.643, -0.02
690.052, -0.02
690.46, -0.02
690.869, -0.02
691.277, -0.02
691.685, -0.02
692.093, -0.02
692.502, -0.02
692.91, -0.02
693.318, -0.02
693.726, -0.02
694.134, -0.02
694.542, -0.02
694.949, -0.02
