lambda, I
350.425, 436.66
350.873, 457.72
351.321, 439
351.769, 385.16
352.217, 448.36
352.665, 343.03
353.113, 434.32
353.561, 396.87
354.009, 410.91
354.456, 443.68
354.904, 361.76
355.352, 497.51
355.799, 436.66
356.247, 518.57
356.694, 431.98
357.142, 446.02
357.589, 476.45
358.037, 413.25
358.484, 431.98
358.931, 350.06
359.379, 399.21
359.826, 378.14
360.273, 429.63
360.72, 523.26
361.167, 408.57
361.614, 431.98
362.061, 361.76
362.508, 448.36
362.955, 448.36
363.402, 675.39
363.848, 1150.52
364.295, 1709.91
364.742, 2278.66
365.188, 2896.56
365.635, 2868.47
366.082, 2241.21
366.528, 1737.99
366.975, 1110.73
367.421, 797.1
367.867, 633.26
368.314, 460.06
368.76, 422.61
369.206, 469.42
369.652, 467.08
370.098, 422.61
370.545, 410.91
370.991, 378.14
371.437, 396.87
371.882, 467.08
372.328, 448.36
372.774, 415.59
373.22, 394.53
373.666, 464.74
374.111, 364.1
374.557, 429.63
375.003, 478.79
375.448, 415.59
375.894, 446.02
376.339, 424.95
376.785, 443.68
377.23, 476.45
377.675, 371.12
378.121, 460.06
378.566, 502.19
379.011, 469.42
379.456, 453.04
379.901, 436.66
380.346, 462.4
380.791, 506.87
381.236, 504.53
381.681, 483.47
382.126, 450.7
382.571, 399.21
383.016, 406.23
383.461, 457.72
383.905, 394.53
384.35, 387.5
384.794, 422.61
385.239, 403.89
385.683, 326.65
386.128, 373.46
386.572, 436.66
387.017, 382.82
387.461, 359.42
387.905, 392.19
388.349, 364.1
388.794, 347.72
389.238, 401.55
389.682, 371.12
390.126, 364.1
390.57, 410.91
391.014, 364.1
391.457, 415.59
391.901, 352.4
392.345, 382.82
392.789, 359.42
393.233, 396.87
393.676, 357.08
394.12, 399.21
394.563, 406.23
395.007, 371.12
395.45, 413.25
395.894, 406.23
396.337, 357.08
396.78, 436.66
397.224, 385.16
397.667, 364.1
398.11, 464.74
398.553, 429.63
398.996, 333.67
399.439, 457.72
399.882, 406.23
400.325, 436.66
400.768, 420.27
401.211, 413.25
401.654, 401.55
402.096, 520.92
402.539, 511.55
402.982, 864.97
403.424, 2306.74
403.867, 3486.37
404.309, 4715.16
404.752, 6096.07
405.194, 5056.87
405.637, 3451.27
406.079, 1892.47
406.521, 1255.84
406.963, 1141.16
407.406, 930.51
407.848, 998.38
408.29, 893.06
408.732, 719.86
409.174, 616.88
409.616, 506.87
410.058, 464.74
410.499, 455.38
410.941, 504.53
411.383, 523.26
411.825, 513.89
412.266, 516.23
412.708, 506.87
413.15, 527.94
413.591, 574.75
414.033, 443.68
414.474, 504.53
414.915, 467.08
415.357, 492.83
415.798, 530.28
416.239, 474.1
416.68, 476.45
417.121, 439
417.563, 563.05
418.004, 469.42
418.445, 516.23
418.885, 495.17
419.326, 495.17
419.767, 541.98
420.208, 504.53
420.649, 509.21
421.089, 532.62
421.53, 504.53
421.971, 546.66
422.411, 527.94
422.852, 478.79
423.292, 485.81
423.733, 476.45
424.173, 497.51
424.613, 497.51
425.054, 462.4
425.494, 448.36
425.934, 448.36
426.374, 588.79
426.814, 504.53
427.254, 506.87
427.694, 499.85
428.134, 537.3
428.574, 527.94
429.014, 574.75
429.454, 462.4
429.893, 520.92
430.333, 469.42
430.773, 520.92
431.212, 539.64
431.652, 642.62
432.091, 572.41
432.531, 565.39
432.97, 675.39
433.41, 815.82
433.849, 1017.11
434.288, 3130.61
434.727, 8080.85
435.167, 9824.54
435.606, 14608.6
436.045, 16890.62
436.484, 12373.39
436.923, 7652.53
437.362, 4148.75
437.801, 2407.39
438.239, 1824.59
438.678, 1232.44
439.117, 923.49
439.556, 771.35
439.994, 635.6
440.433, 612.2
440.871, 642.62
441.31, 647.3
441.748, 666.03
442.187, 668.37
442.625, 572.41
443.063, 595.81
443.502, 509.21
443.94, 598.15
444.378, 642.62
444.816, 574.75
445.254, 614.54
445.692, 549
446.13, 649.64
446.568, 623.9
447.006, 586.45
447.444, 563.05
447.881, 637.94
448.319, 591.13
448.757, 619.22
449.194, 591.13
449.632, 616.88
450.07, 584.11
450.507, 602.83
450.944, 602.83
451.382, 616.88
451.819, 621.56
452.256, 623.9
452.694, 609.86
453.131, 614.54
453.568, 509.21
454.005, 577.09
454.442, 605.17
454.879, 570.07
455.316, 558.36
455.753, 595.81
456.19, 586.45
456.627, 586.45
457.063, 579.43
457.5, 637.94
457.937, 581.77
458.373, 595.81
458.81, 539.64
459.246, 593.47
