lambda, Intensity
817.553, 446.75
817.944, 411.64
818.334, 460.79
818.725, 523.99
819.115, 404.62
819.506, 376.53
819.896, 437.39
820.287, 439.73
820.677, 385.9
821.067, 350.79
821.457, 416.32
821.848, 381.21
822.238, 423.34
822.628, 397.6
823.018, 458.45
823.408, 406.96
823.797, 451.43
824.187, 406.96
824.577, 374.19
824.967, 409.3
825.356, 411.64
825.746, 308.66
826.135, 416.32
826.525, 437.39
826.914, 362.49
827.304, 432.71
827.693, 418.66
828.082, 360.15
828.471, 311
828.86, 399.94
829.249, 332.06
829.638, 381.21
830.027, 364.83
830.416, 430.37
830.805, 357.81
831.194, 369.51
831.582, 395.26
831.971, 404.62
832.36, 413.98
832.748, 383.56
833.137, 411.64
833.525, 346.11
833.914, 364.83
834.302, 341.43
834.69, 399.94
835.078, 451.43
835.466, 357.81
835.854, 385.9
836.243, 378.87
836.63, 409.3
837.018, 397.6
837.406, 378.87
837.794, 416.32
838.182, 392.92
838.569, 348.45
838.957, 402.28
839.345, 477.18
839.732, 364.83
840.12, 362.49
840.507, 463.13
840.894, 404.62
841.282, 381.21
841.669, 437.39
842.056, 390.58
842.443, 378.87
842.83, 449.09
843.217, 385.9
843.604, 418.66
843.991, 348.45
844.378, 346.11
844.764, 376.53
845.151, 392.92
845.538, 357.81
845.924, 341.43
846.311, 296.96
846.697, 392.92
847.084, 395.26
847.47, 364.83
847.856, 425.68
848.242, 381.21
848.629, 460.79
849.015, 346.11
849.401, 306.32
849.787, 435.05
850.173, 343.77
850.559, 364.83
850.944, 409.3
851.33, 404.62
851.716, 318.02
852.102, 399.94
852.487, 362.49
852.873, 371.85
853.258, 374.19
853.644, 306.32
854.029, 315.68
854.414, 320.36
854.799, 376.53
855.185, 353.13
855.57, 404.62
855.955, 348.45
856.34, 355.47
856.725, 411.64
857.11, 381.21
857.495, 402.28
857.879, 388.24
858.264, 311
858.649, 367.17
859.033, 385.9
859.418, 334.4
859.802, 411.64
860.187, 378.87
860.571, 360.15
860.955, 364.83
861.34, 404.62
861.724, 376.53
862.108, 435.05
862.492, 435.05
862.876, 334.4
863.26, 280.57
863.644, 397.6
864.028, 350.79
864.412, 406.96
864.795, 301.64
865.179, 381.21
865.563, 318.02
865.946, 350.79
866.33, 383.56
866.713, 383.56
867.097, 428.03
867.48, 385.9
867.863, 364.83
868.246, 325.04
868.629, 376.53
869.013, 315.68
869.396, 360.15
869.779, 329.72
870.161, 413.98
870.544, 430.37
870.927, 339.09
871.31, 383.56
871.693, 421
872.075, 388.24
872.458, 343.77
872.84, 374.19
873.223, 385.9
873.605, 390.58
873.987, 336.74
874.37, 367.17
874.752, 348.45
875.134, 360.15
875.516, 371.85
875.898, 325.04
876.28, 341.43
876.662, 388.24
877.044, 303.98
877.426, 348.45
877.807, 381.21
878.189, 369.51
878.571, 402.28
878.952, 318.02
879.334, 350.79
879.715, 399.94
880.097, 332.06
880.478, 404.62
880.859, 376.53
881.24, 350.79
881.622, 413.98
882.003, 294.61
882.384, 416.32
882.765, 378.87
883.146, 327.38
883.526, 289.93
883.907, 355.47
884.288, 355.47
884.669, 453.77
885.049, 306.32
885.43, 418.66
885.81, 395.26
886.191, 390.58
886.571, 322.7
886.952, 334.4
887.332, 367.17
887.712, 378.87
888.092, 367.17
888.472, 364.83
888.852, 339.09
889.232, 336.74
889.612, 397.6
889.992, 294.61
890.372, 367.17
890.752, 350.79
891.131, 376.53
891.511, 355.47
891.89, 364.83
892.27, 346.11
892.649, 332.06
893.029, 421
893.408, 339.09
893.787, 357.81
894.167, 329.72
894.546, 350.79
894.925, 306.32
895.304, 327.38
895.683, 383.56
896.062, 350.79
896.441, 271.21
896.819, 390.58
897.198, 404.62
897.577, 409.3
897.955, 374.19
898.334, 339.09
898.712, 381.21
899.091, 369.51
899.469, 404.62
899.848, 306.32
900.226, 336.74
900.604, 390.58
900.982, 355.47
901.36, 369.51
901.738, 353.13
902.116, 432.71
902.494, 343.77
902.872, 320.36
903.25, 336.74
903.628, 353.13
904.005, 336.74
904.383, 390.58
904.76, 360.15
905.138, 395.26
905.515, 367.17
905.893, 404.62
906.27, 348.45
906.647, 425.68
907.024, 350.79
907.402, 355.47
907.779, 397.6
908.156, 369.51
908.533, 346.11
908.91, 392.92
909.286, 376.53
909.663, 327.38
910.04, 406.96
910.417, 371.85
910.793, 325.04
911.17, 327.38
911.546, 381.21
911.923, 332.06
912.299, 334.4
912.675, 432.71
913.051, 334.4
913.428, 381.21
913.804, 364.83
914.18, 404.62
914.556, 313.34
914.932, 329.72
915.308, 348.45
915.683, 381.21
916.059, 332.06
916.435, 378.87
916.811, 416.32
917.186, 364.83
917.562, 282.91
917.937, 360.15
918.313, 346.11
918.688, 355.47
919.063, 357.81
919.438, 374.19
919.814, 285.25
920.189, 381.21
920.564, 432.71
920.939, 364.83
921.314, 278.23
921.689, 275.89
922.063, 315.68
922.438, 355.47
922.813, 353.13
923.187, 315.68
923.562, 332.06
923.936, 418.66
924.311, 339.09
924.685, 311
925.06, 353.13
925.434, 374.19
925.808, 376.53
926.182, 303.98
926.556, 266.53
926.93, 409.3
927.304, 339.09
927.678, 350.79
928.052, 346.11
928.426, 346.11
928.8, 371.85
929.173, 308.66
929.547, 285.25
929.92, 367.17
930.294, 339.09
930.667, 301.64
931.041, 334.4
931.414, 303.98
931.787, 374.19
932.161, 294.61
932.534, 346.11
932.907, 348.45
933.28, 322.7
933.653, 390.58
934.026, 322.7
934.398, 268.87
934.771, 421
935.144, 402.28
935.517, 357.81
935.889, 322.7
936.262, 320.36
936.634, 390.58
937.007, 381.21
937.379, 257.17
937.751, 355.47
938.123, 355.47
938.496, 287.59
938.868, 395.26
939.24, 299.3
939.612, 348.45
939.984, 343.77
940.355, 362.49
940.727, 336.74
941.099, 259.51
941.471, 369.51
941.842, 339.09
942.214, 282.91
942.585, 418.66
942.957, 404.62
943.328, 327.38
943.7, 383.56
944.071, 383.56
944.442, 399.94
944.813, 355.47
945.184, 334.4
945.555, 357.81
945.926, 367.17
946.297, 385.9
946.668, 325.04
947.039, 334.4
947.409, 332.06
947.78, 355.47
948.151, 336.74
948.521, 385.9
948.892, 371.85
949.262, 369.51
949.633, 390.58
950.003, 381.21
950.373, 383.56
950.743, 399.94
951.113, 341.43
951.483, 315.68
951.853, 339.09
952.223, 315.68
952.593, 367.17
952.963, 285.25
953.333, 423.34
953.702, 336.74
954.072, 334.4
954.442, 346.11
954.811, 355.47
955.181, 308.66
955.55, 404.62
955.919, 273.55
956.289, 311
956.658, 311
957.027, 385.9
957.396, 355.47
957.765, 327.38
958.134, 341.43
958.503, 346.11
958.872, 303.98
959.24, 325.04
959.609, 320.36
959.978, 346.11
960.346, 334.4
960.715, 364.83
961.083, 329.72
961.452, 336.74
961.82, 371.85
962.188, 325.04
962.557, 381.21
962.925, 360.15
963.293, 339.09
963.661, 334.4
964.029, 362.49
964.397, 325.04
964.765, 322.7
965.133, 266.53
965.5, 381.21
965.868, 287.59
966.236, 311
966.603, 303.98
966.971, 383.56
967.338, 334.4
967.706, 353.13
968.073, 421
968.44, 350.79
968.807, 343.77
969.174, 353.13
969.542, 329.72
969.909, 413.98
970.275, 327.38
970.642, 367.17
971.009, 325.04
971.376, 299.3
971.743, 275.89
972.109, 315.68
972.476, 346.11
972.842, 240.78
973.209, 353.13
973.575, 360.15
973.942, 353.13
974.308, 348.45
974.674, 334.4
975.04, 292.27
975.406, 355.47
975.772, 353.13
976.138, 332.06
976.504, 362.49
976.87, 303.98
977.236, 301.64
977.602, 292.27
977.967, 364.83
978.333, 339.09
978.698, 332.06
979.064, 355.47
979.429, 303.98
979.795, 367.17
980.16, 313.34
980.525, 294.61
980.89, 306.32
981.255, 322.7
981.621, 355.47
981.986, 294.61
982.35, 299.3
982.715, 315.68
983.08, 271.21
983.445, 306.32
983.81, 303.98
984.174, 320.36
984.539, 329.72
984.903, 371.85
985.268, 367.17
985.632, 402.28
985.996, 280.57
986.361, 322.7
986.725, 264.19
987.089, 369.51
987.453, 320.36
987.817, 376.53
988.181, 411.64
988.545, 360.15
988.909, 308.66
989.272, 350.79
989.636, 383.56
990, 315.68
990.363, 355.47
990.727, 320.36
991.09, 374.19
991.454, 339.09
991.817, 353.13
992.18, 381.21
992.543, 299.3
992.907, 343.77
993.27, 322.7
993.633, 362.49
993.996, 357.81
994.359, 357.81
994.721, 325.04
995.084, 327.38
995.447, 348.45
995.81, 332.06
996.172, 402.28
996.535, 348.45
996.897, 390.58
997.259, 299.3
997.622, 374.19
997.984, 339.09
998.346, 346.11
998.708, 325.04
999.071, 357.81
999.433, 334.4
999.795, 346.11
1000.156, 376.53
1000.518, 353.13
1000.88, 388.24
1001.242, 334.4
1001.603, 367.17
1001.965, 280.57
1002.327, 367.17
1002.688, 350.79
1003.049, 306.32
1003.411, 322.7
1003.772, 334.4
1004.133, 341.43
1004.495, 360.15
1004.856, 325.04
1005.217, 378.87
1005.578, 381.21
1005.939, 299.3
1006.299, 332.06
1006.66, 301.64
1007.021, 350.79
1007.382, 254.83
1007.742, 339.09
1008.103, 360.15
1008.463, 285.25
1008.824, 327.38
1009.184, 402.28
1009.544, 327.38
1009.904, 364.83
1010.265, 327.38
1010.625, 320.36
1010.985, 357.81
1011.345, 348.45
1011.705, 306.32
1012.065, 362.49
1012.424, 322.7
1012.784, 266.53
1013.144, 303.98
1013.503, 390.58
1013.863, 339.09
1014.222, 313.34
1014.582, 383.56
1014.941, 299.3
1015.3, 376.53
1015.66, 285.25
1016.019, 350.79
1016.378, 320.36
1016.737, 325.04
1017.096, 271.21
1017.455, 308.66
1017.814, 285.25
1018.173, 369.51
1018.531, 315.68
1018.89, 353.13
1019.249, 325.04
1019.607, 308.66
1019.966, 280.57
1020.324, 311
1020.682, 399.94
1021.041, 325.04
1021.399, 371.85
1021.757, 320.36
1022.115, 322.7
1022.473, 357.81
1022.831, 343.77
1023.189, 311
1023.547, 346.11
1023.905, 355.47
1024.263, 303.98
1024.62, 278.23
1024.978, 421
1025.335, 306.32
1025.693, 399.94
1026.05, 299.3
1026.408, 376.53
1026.765, 353.13
1027.122, 362.49
1027.479, 320.36
1027.837, 367.17
1028.194, 411.64
1028.551, 339.09
1028.908, 385.9
1029.264, 289.93
1029.621, 364.83
1029.978, 465.47
1030.335, 346.11
1030.691, 308.66
1031.048, 339.09
1031.404, 381.21
1031.761, 301.64
1032.117, 320.36
1032.473, 329.72
1032.83, 341.43
1033.186, 343.77
1033.542, 341.43
1033.898, 360.15
1034.254, 402.28
1034.61, 402.28
1034.966, 402.28
