FLMS05507_1:101, 
346.39, 8670.66
346.838, 8836.84
347.287, 8778.33
347.735, 8740.88
348.184, 8658.96
348.632, 8916.42
349.08, 8839.18
349.529, 8974.93
349.977, 9307.29
350.425, 9901.78
350.873, 9866.67
351.321, 10067.96
351.769, 9883.06
352.217, 9576.45
352.665, 9826.89
353.113, 9864.33
353.561, 10344.14
354.009, 10852.04
354.456, 11072.05
354.904, 11217.16
355.352, 11170.35
355.799, 11086.09
356.247, 10802.89
356.694, 10243.5
357.142, 9595.17
357.589, 9080.25
358.037, 8523.21
358.484, 8609.81
358.931, 8846.2
359.379, 9634.96
359.826, 10430.74
360.273, 10990.13
360.72, 10926.94
361.167, 10440.11
361.614, 10639.05
362.061, 10723.31
362.508, 11053.33
362.955, 11631.44
363.402, 11547.18
363.848, 11682.93
364.295, 12258.7
364.742, 12476.37
365.188, 12773.62
365.635, 13677.07
366.082, 14217.73
366.528, 14646.05
366.975, 14423.7
367.421, 14374.55
367.867, 14259.86
368.314, 14306.67
368.76, 14430.72
369.206, 14606.26
369.652, 15100.11
370.098, 15123.52
370.545, 15357.57
370.991, 15076.71
371.437, 15015.85
371.882, 14999.47
372.328, 14435.4
372.774, 13962.61
373.22, 13316.62
373.666, 12687.02
374.111, 12567.65
374.557, 12392.11
375.003, 12890.65
375.448, 13377.48
375.894, 13775.37
376.339, 14337.1
376.785, 15158.63
377.23, 16024.62
377.675, 16834.45
378.121, 17496.82
378.566, 17379.79
379.011, 16452.94
379.456, 16033.99
379.901, 15675.88
380.346, 15973.13
380.791, 16111.22
381.236, 15802.27
381.681, 15074.37
382.126, 13630.26
382.571, 12300.83
383.016, 11591.65
383.461, 11118.86
383.905, 11528.45
384.35, 12317.22
384.794, 13356.41
385.239, 13911.12
385.683, 14376.89
386.128, 14004.74
386.572, 14573.49
387.017, 14386.25
387.461, 14615.62
387.905, 14620.3
388.349, 14676.48
388.794, 15065
389.238, 15945.05
389.682, 16939.77
390.126, 17442.99
390.57, 18304.31
391.014, 18807.52
391.457, 19289.67
391.901, 18390.91
392.345, 16930.41
392.789, 14355.82
393.233, 12836.81
393.676, 11860.81
394.12, 13124.7
394.563, 15095.43
395.007, 16672.95
395.45, 17435.97
395.894, 17302.56
396.337, 15664.18
396.78, 14103.04
397.224, 14245.82
397.667, 16349.96
398.11, 18756.03
398.553, 21424.24
398.996, 23086.02
399.439, 24132.24
399.882, 25524.86
400.325, 25936.79
400.768, 27102.38
401.211, 27254.51
401.654, 27872.42
402.096, 27776.45
402.539, 27949.65
402.982, 28237.54
403.424, 27860.71
403.867, 28291.37
404.309, 27919.23
404.752, 27603.25
405.194, 27720.28
405.637, 27638.36
406.079, 27240.47
406.521, 26863.64
406.963, 26699.81
407.406, 27132.81
407.848, 27884.12
408.29, 28101.79
408.732, 29190.14
409.174, 29206.52
409.616, 28090.09
410.058, 27392.61
410.499, 28181.37
410.941, 28696.28
411.383, 29847.83
411.825, 30065.5
412.266, 30858.94
412.708, 30028.05
413.15, 30308.91
413.591, 30407.22
414.033, 30645.95
414.474, 30622.55
414.915, 30205.93
415.357, 30739.57
415.798, 30872.98
416.239, 30865.96
416.68, 30844.9
417.121, 30163.8
417.563, 29728.46
418.004, 30081.88
418.445, 29702.71
418.885, 29796.34
419.326, 29356.32
419.767, 29625.48
420.208, 30004.64
420.649, 30334.66
421.089, 31238.11
421.53, 31289.6
421.971, 30449.35
422.411, 29108.22
422.852, 29466.32
423.292, 29852.51
423.733, 29279.08
424.173, 30070.18
424.613, 29592.71
425.054, 29672.29
425.494, 29660.59
425.934, 29527.17
426.374, 29693.35
426.814, 29351.63
427.254, 28993.53
